BookID,title,ean_isbn13,upc_isbn10,description,publisher,publish_date
78,I Know This Much Is True: A Novel (P.S.),9780061469084.0,61469084,"On the afternoon of October 12, 1990, my twin brother, Thomas, entered the Three Rivers, Connecticut, public library, retreated to one of the rear study carrels, and prayed to God the sacrifice he was about to commit would be deemed acceptable. . . .    One of the most acclaimed novels of our time, Wally Lamb&#039;s I Know This Much Is True is a story of alienation and connection, devastation and renewal, at once joyous, heartbreaking, poignant, mystical, and powerfully, profoundly human.",Harper Perennial,2008-04-08
79,"House of Flame and Shadow (Crescent City, 3)",9781635574104.0,1635574102,"The stunning third book in the sexy, action-packed Crescent City series, following the global bestsellers House of Earth and Blood and House of Sky and Breath.",Bloomsbury Publishing,2024-01-30
80,The Nest,9780062414229.0,62414224,"A warm, funny and acutely perceptive debut novel about four adult siblings and the fate of the shared inheritance that has shaped their choices and their lives.Every family has its problems. But even among the most troubled, the Plumb family stands out as spectacularly dysfunctional. Years of simmering tensions finally reach a breaking point on an unseasonably cold afternoon in New York City as Melody, Beatrice, and Jack Plumb gather to confront their charismatic and reckless older brother, Leo, freshly released from rehab. Months earlier, an inebriated Leo got behind the wheel of a car with a nineteen-year-old waitress as his passenger. The ensuing accident has endangered the Plumbs' joint trust fund, The Nest, which they are months away from finally receiving. Meant by their deceased father to be a modest mid-life supplement, the Plumb siblings have watched The Nests value soar along with the stock market and have been counting on the money to solve a number of self-inflicted problems.Melody, a wife and mother in an upscale suburb, has an unwieldy mortgage and looming college tuition for her twin teenage daughters. Jack, an antiques dealer, has secretly borrowed against the beach cottage he shares with his husband, Walker, to keep his store open. And Bea, a once-promising short-story writer, just cant seem to finish her overdue novel. Can Leo rescue his siblings and, by extension, the people they love? Or will everyone need to reimagine the futures theyve envisioned? Brought together as never before, Leo, Melody, Jack, and Beatrice must grapple with old resentments, present-day truths, and the significant emotional and financial toll of the accident, as well as finally acknowledge the choices they have made in their own lives.This is a story about the power of family, the possibilities of friendship, the ways we depend upon one another and the ways we let one another down. In this tender, entertaining, and deftly written debut, Sweeney brings a remarkable cast of characters to life to illuminate what money does to relationships, what happens to our ambitions over the course of time, and the fraught yet unbreakable ties we share with those we love.",Ecco,2017-04-04
81,The Martian: A Novel,9780553418026.0,553418025,"Six days ago, astronaut Mark Watney became one of the first people to walk on Mars. Now, he's sure he'll be the first person to die there.After a dust storm nearly kills him and forces his crew to evacuate while thinking him dead, Mark finds himself stranded and completely alone with no way to even signal Earth that hes aliveand even if he could get word out, his supplies would be gone long before a rescue could arrive. Chances are, though, he won't have time to starve to death. The damaged machinery, unforgiving environment, or plain-old ""human error"" are much more likely to kill him first. But Mark isn't ready to give up yet. Drawing on his ingenuity, his engineering skillsand a relentless, dogged refusal to quithe steadfastly confronts one seemingly insurmountable obstacle after the next. Will his resourcefulness be enough to overcome the impossible odds against him?",Broadway Books,2014-10-28
82,The Starboard Sea: A Novel,9781250023438.0,1250023432,"&ldquo;A rich, quietly artful novel that is bound for deep water, with questions of beauty, power and spiritual navigation as its main concerns. The title refers not to the right side of a boat but to the right course through life, and the immense difficulty of finding and following it.&rdquo;--Janet Maslin, The New York TimesA&nbsp;powerful first novel about life and death, friendship and love, as one young man must navigate the depths of his emotions.JASON PROSPER grew up in the elite world of Manhattan penthouses, Maine summer estates, old-boy prep schools, and exclusive sailing clubs. A smart, athletic teenager, Jason maintains a healthy, humorous disdain for the trappings of affluence, preferring to spend afternoons sailing with Cal, his best friend and boarding-school roommate. When Cal commits suicide during their junior year at Kensington Prep, Jason is devastated by the loss and transfers to Bellingham Academy. There, he meets Aidan, a fellow student with her own troubled past. They embark on a tender, awkward, deeply emotional relationship. When a major hurricane hits the New England coast, the destruction it causes brings with it another upheaval in Jason&rsquo;s life, forcing him to make sense of a terrible secret that has been buried by the boys he considers his friends.Set against the backdrop of the 1987 stock market collapse, The Starboard Sea Amber Dermont is an examination of the abuses of class privilege, the mutability of sexual desire, the thrill and risk of competitive sailing, and the adult cost of teenage recklessness. It is a powerful and provocative novel about a young man finding his moral center, trying to forgive himself, and accepting the gift of love.",St. Martin's Griffin,2013-01-29
83,The Whisper Man,9781250317995.0,1250317991,"""POIGNANT AND TERRIFYING"" --Entertainment Weekly ""WORKS BEAUTIFULLY... If you like being terrified, The Whisper Man has your name on it."" --The New York Times, Editor's Pick ""SUPERB"" --Publisher's Weekly, Starred Review ""BRILLIANT... will satisfy readers of Thomas Harris and Stephen King."" --Booklist, Starred Review In this dark, suspenseful thriller, Alex North weaves a multi-generational tale of a father and son caught in the crosshairs of an investigation to catch a serial killer preying on a small town. After the sudden death of his wife, Tom Kennedy believes a fresh start will help him and his young son Jake heal. A new beginning, a new house, a new town. Featherbank. But the town has a dark past. Twenty years ago, a serial killer abducted and murdered five residents. Until Frank Carter was finally caught, he was nicknamed ""The Whisper Man,"" for he would lure his victims out by whispering at their windows at night. Just as Tom and Jake settle into their new home, a young boy vanishes. His disappearance bears an unnerving resemblance to Frank Carter's crimes, reigniting old rumors that he preyed with an accomplice. Now, detectives Amanda Beck and Pete Willis must find the boy before it is too late, even if that means Pete has to revisit his great foe in prison: The Whisper Man. And then Jake begins acting strangely. He hears a whispering at his window...",Celadon Books,2019-08-20
84,The Orchid Thief: A True Story of Beauty and Obsession (Ballantine Reader's Circle),9780449003718.0,44900371,"A NEW YORK TIMES NOTABLE BOOK A modern classic of personal journalism, The Orchid Thief is Susan Orlean&rsquo;s wickedly funny, elegant, and captivating tale of an amazing obsession.From Florida&rsquo;s swamps to its courtrooms, the New Yorker writer follows one deeply eccentric and oddly attractive man&rsquo;s possibly criminal pursuit of an endangered flower. Determined to clone the rare ghost orchid, Polyrrhiza lindenii, John Laroche leads Orlean on an unforgettable tour of America&rsquo;s strange flower-selling subculture, along with the Seminole Indians who help him and the forces of justice who fight him. In the end, Orlean&ndash;and the reader&ndash;will have more respect for underdog determination and a powerful new definition of passion.Praise for The Orchid Thief: &ldquo;Fascinating . . . tales of theft, hatred, greed, jealousy, madness, and backstabbing . . . an engrossing journey.&rdquo;&ndash;Los Angeles Times&ldquo;Irresistible . . . a brilliantly reported account of an illicit scheme to housebreak Florida&rsquo;s wild and endangered ghost orchid . . . Its central figure is John Laroche, the &lsquo;oddball ultimate&rsquo; of a subculture whose members are so enthralled by orchids they &lsquo;pursue them like lovers.&rsquo; &rdquo;&ndash;Minneapolis Star Tribune&ldquo;Artful . . . in Ms. Orlean&rsquo;s skillful handling, her orchid story turns out to be distinctly &lsquo;something more.&rsquo; . . . [Her] portrait of her sometimes sad-making orchid thief allows the reader to discover acres of opportunity where intriguing things can be found.&rdquo;&ndash;The New York Times&ldquo;Zestful . . . a swashbuckling piece of reporting that celebrates some virtues that made America great.&rdquo;&ndash;The Wall Street Journal&ldquo;Deliciously weird . . . compelling.&rdquo;&ndash;Detroit Free Press",Ballantine Books,2000-01-04
85,Sister,9780307987297.0,307987299,"Read it, loved it, but ready to pass it on.",Books,2011-01-01
86,The Witch Elm,9780735224643.0,735224641,"Named a New York Times Notable Book of 2018, and a Best Book of 2018 by NPR, The New York Times Book Review, Amazon, The Boston Globe, LitHub, Vulture, Slate, Elle, Vox, and Electric Literature. ""Tana French's best and most intricately nuanced novel yet."" -- The New York Times An ""extraordinary"" (Stephen King) and ""mesmerizing"" (LA Times) new standalone novel from the master of crime and suspense. From the writer who ""inspires cultic devotion in readers"" (The New Yorker) and has been called ""incandescent"" by Stephen King, ""absolutely mesmerizing"" by Gillian Flynn, and ""unputdownable"" (People), comes a gripping new novel that turns a crime story inside out. Toby is a happy-go-lucky charmer who's dodged a scrape at work and is celebrating with friends when the night takes a turn that will change his life - he surprises two burglars who beat him and leave him for dead. Struggling to recover from his injuries, beginning to understand that he might never be the same man again, he takes refuge at his family's ancestral home to care for his dying uncle Hugo. Then a skull is found in the trunk of an elm tree in the garden - and as detectives close in, Toby is forced to face the possibility that his past may not be what he has always believed. A spellbinding standalone from one of the best suspense writers working today, The Witch Elm asks what we become, and what we're capable of, when we no longer know who we are.",Penguin Books,2019-07-30
87,Daughter of No Worlds,9780998461939.0,998461938,,Carissa Broadbent,2020-01-08
88,Salvage This World,9780316413633.0,316413631,"In Michael Farris Smith's latest ""riveting"" epic, a young woman returns home with her child to her ghost-haunted father, while a religious extremist hunts the stormridden territory to find the girl who may be the region's savior. (Laird Hunt, National Book Award-nominated author of Zorrie and Neverhome) There was no rising from the dead and there was no hand to calm the storms and there was no peace in no valley. In the hurricane-ravaged bottomlands of South Mississippi, where stores are closing and jobs are few, a fierce zealot has gained a foothold, capitalizing on the vulnerability of a dwindling population and a burning need for hope. As she preaches and promises salvation from the light of the pulpit, in the shadows she sows the seeds of violence. Elsewhere, Jessie and her toddler, Jace, are on the run across the Mississippi/Louisiana line, in a resentful return to her childhood home and her desolate father. Holt, Jace's father, is missing and hunted by a brutish crowd, and an old man witnesses the wrong thing in the depths of night. In only a matter of days, all of their lives will collide, and be altered, in the maelstrom of the changing world. At once elegiac and profound, Salvage This World journeys into the heart of a region growing darker and less forgiving, and asks how we keep going--what do we hold onto--in a land where God has fled. Garden &amp; Gun Top Reads of 2023 * Bibliolifestyle Best Literary Fiction of 2023 * Southern Living Southern Writers to Read Right Now",Little Brown &amp; Company,2023-04-25
89,This Is a Book for People Who Love Hot Sauce,9780762467709.0,762467703,"From sriracha to Tabasco, this funny, feisty book is an illustrated love letter to the quirky stories and fiery flavors of the world's best hot sauces. Smart, short, and just a touch silly, This Is a Book for People Who Love Hot Sauce is exactly that - a book for people who love hot sauce. For devoted fans and casual enthusiasts alike, this charming guide is nothing short of a celebration of capsaicin. An introduction to the condiment's storied history and traditional producing regions, as well as its significance in popular culture, is paired with engaging profiles of more than two dozen of the world's most tongue-singeing sauces. Fiery facts and spicy asides add a dash of context, while vintage-inspired illustrations capture the essence of each iconic bottle. Deeply researched, but not too serious, This Is a Book for People Who Love Hot Sauce is sure to rise to the top of the Scoville scale.",Running Press,2019-10-08
90,Parable of the Talents,9781538732199.0,153873219X,"Originally published in 1998, this shockingly prescient novel's timely message of hope and resistance in the face of fanaticism is more relevant than ever. In 2032, Lauren Olamina has survived the destruction of her home and family, and realized her vision of a peaceful community in northern California based on her newly founded faith, Earthseed. The fledgling community provides refuge for outcasts facing persecution after the election of an ultra-conservative president who vows to ""make America great again."" In an increasingly divided and dangerous nation, Lauren's subversive colony--a minority religious faction led by a young black woman--becomes a target for President Jarret's reign of terror and oppression. Years later, Asha Vere reads the journals of a mother she never knew, Lauren Olamina. As she searches for answers about her own past, she also struggles to reconcile with the legacy of a mother caught between her duty to her chosen family and her calling to lead humankind into a better future.",Grand Central Publishing,2019-08-20
91,Parable of the Sower: A Novel,9781609807191.0,1609807197,"Parable of the Sower is the Butlerian odyssey of one woman who is twice as feeling in a world that has become doubly dehumanized. The time is 2025. The place is California, where small walled communities must protect themselves from hordes of desperate scavengers and roaming bands of people addicted to a drug that activates an orgasmic desire to burn, rape, and murder. When one small community is overrun, Lauren Olamina, an 18 year old black woman with the hereditary train of ""hyperempathy""which causes her to feel others pain as her ownsets off on foot along the dangerous coastal highways, moving north into the unknown.",Seven Stories Press,2017-02-21
92,Station Eleven,9780804172448.0,804172447,"A National Book Award FinalistA PEN/Faulkner Award Finalist Kirsten Raymonde will never forget the night Arthur Leander, the famous Hollywood actor, had a heart attack on stage during a production ofKing Lear.That was the night when a devastating flu pandemic arrived in the city, and within weeks, civilization as we know it came to an end. Twenty years later, Kirsten moves between the settlements of the altered world with a small troupe of actors and musicians. They call themselves The Traveling Symphony, and they have dedicated themselves to keeping the remnants of art and humanity alive. But when they arrive in St. Deborah by the Water, they encounter a violent prophet who will threaten the tiny bands existence. And as the story takes off, moving back and forth in time, and vividly depicting life before and after the pandemic, the strange twist of fate that connects them all will be revealed.",Vintage,2015-06-02
93,The Kite Runner,9781594480003.0,1594480001,"The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father's servant, The Kite Runner is a beautifully crafted novel set in a country that is in the process of being destroyed. It is about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons, their love, their sacrifices, their lies. A sweeping story of family, love, and friendship told against the devastating backdrop of the history of Afghanistan over the last thirty years, The Kite Runner is an unusual and powerful novel that has become a beloved, one-of-a-kind classic.",Riverhead Trade,2004-04-27
94,Benny and Shrimp,9780143115991.0,143115995,"Shrimp--an intelligent, tidy, widowed librarian--meets Benny--a gentle, overworked milk farmer who fears becoming the village&#039;s Old Bachelor--prompting an unlikely love that should not be as complicated as it seems. Original.",Penguin Paperbacks,
95,Monster,9780806543550.0,806543558,"On a snowy winter evening in 1982, twenty-one-year-old Mary Brown accepted a ride from a handsome stranger in the resort town of Breckenridge, Colorado. What followed was a nightmare of unspeakable cruelty. Miraculously, Mary survived her horrific ordeal, but the true depths of her attacker's malevolence were yet to be revealed. For him, the violence had only just begun. After ten years in prison, Tom Luther was released a far more vicious criminal. Often compared to Ted Bundy, Luther cut a deadly swath from the Rockies to West Virginia, luring a chain of women into the black hole of his murderous vision. One cop was obsessed with catching this brutal killer - and pinning at least one Colorado murder on him. But as Luther led Detective Scott Richardson through a maze of lies and deception, the stakes began to rise. From the Rockies to West Virginia, young women were coming face to face with a murderous monster raging out of control. And none of them were coming out alive. In this grip",Kensington Publishing Corporation,2023-11-28
96,Brave New World,9780060850524.0,60850523,"Aldous Huxley's tour de force, Brave New World is a darkly satiric vision of a ""utopian"" futurewhere humans are genetically bred and pharmaceutically anesthetized to passively serve a ruling order. A powerful work of speculative fiction that has enthralled and terrified readers for generations, it remains remarkably relevant to this day as both a warning to be heeded as we head into tomorrow and as thought-provoking, satisfying entertainment.",Harper Perennial Modern Classics,2006-10-17
97,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",9781400064168.0,1400064163,"On a May afternoon in 1943, an Army Air Forces bomber crashed into the Pacific Ocean and disappeared, leaving only a spray of debris and a slick of oil, gasoline, and blood. Then, on the ocean surface, a face appeared. It was that of a young lieutenant, the planes bombardier, who was struggling to a life raft and pulling himself aboard. So began one of the most extraordinary odysseys of the Second World War.The lieutenants name was Louis Zamperini. In boyhood, hed been a cunning and incorrigible delinquent, breaking into houses, brawling, and fleeing his home to ride the rails. As a teenager, he had channeled his defiance into running, discovering a prodigious talent that had carried him to the Berlin Olympics and within sight of the four-minute mile. But when war had come, the athlete had become an airman, embarking on a journey that led to his doomed flight, a tiny raft, and a drift into the unknown.Ahead of Zamperini lay thousands of miles of open ocean, leaping sharks, a foundering raft, thirst and starvation, enemy aircraft, and, beyond, a trial even greater. Driven to the limits of endurance, Zamperini would answer desperation with ingenuity; suffering with hope, resolve, and humor; brutality with rebellion. His fate, whether triumph or tragedy, would be suspended on the fraying wire of his will.In her long-awaited new book, Laura Hillenbrand writes with the same rich and vivid narrative voice she displayed in Seabiscuit. Telling an unforgettable story of a mans journey into extremity, Unbroken is a testament to the resilience of the human mind, body, and spirit.",Random House,2010-11-16
98,Lord of the Rings Illustrated Edition,9780358653035.0,358653037,J.R.R. Tolkien's grand masterwork in a new hardcover illustrated with the art created by Tolkien himself as he envisioned Middle-earth,Mariner Books,2021-11-02
99,State of Fear,9780066214139.0,66214130,"The undisputed master of the techno-thriller has written his most riveting -- and entertaining -- book yet. Once again Michael Crichton gives us his trademark combination of page-turning suspense, cutting-edge technology, and extraordinary research. State of Fear is a superb blend of edge-of-your-seat suspense and thought provoking commentary on how information is manipulated in the modern world. From the streets of Paris, to the glaciers of Antarctica to the exotic and dangerous Solomon Islands, State of Fear takes the reader on a rollercoaster thrill ride, all the while keeping the brain in high gear.",Harper Collins,2004-12-07
100,The Girl Who Played with Fire: Book 2 of the Millennium Trilogy,9780307454553.0,30745455,"Part blistering espionage thriller, part riveting police procedural, and part piercing expos&eacute; on social injustice, The Girl Who Played with Fire is a masterful, endlessly satisfying novel. &nbsp;Mikael Blomkvist, crusading publisher of the magazine Millennium, has decided to run a story that will expose an extensive sex trafficking operation. On the eve of its publication, the two reporters responsible for the article are murdered, and the fingerprints found on the murder weapon belong to his friend, the troubled genius hacker Lisbeth Salander. Blomkvist, convinced of Salander&rsquo;s innocence, plunges into an investigation. Meanwhile, Salander herself is drawn into a murderous game of cat and mouse, which forces her to face her dark past.",Vintage,2010-03-23
101,A Widow of One Year,9780375501371.0,375501371,,Random House,
102,Worlds to Explore: Classic Tales of Travel and Adventure from National Geographic,9780792254874.0,792254872,"Polar fleece, titanium, and GPS have forever changed the face of exploration. Today an explorer can make a phone call from the top of Mount Everest and geo-locate himself in the thickest rain forest or the widest desert. Yet despite these advances, few modern adventures get close to the charm and romance of ""The Desert Road to Turkestan,"" ""Mysterious Temples of the Jungle,"" and ""Airplanes Come to the Isles of Spice.""  In those bygone days, the pages of National Geographic were as close as most people could get to high adventure and faraway landsand here's a chance to recapture them. Alongside noteworthy names like Robert Peary, Amelia Earhart, and Teddy Roosevelt, other less famous travelers take us on long-forgotten trips to places few Americans had gone. We follow as ""An American Girl Cycles Across Transylvania,"" trek ""A Thousand Miles Along the Great Wall of China,"" and glide ""By Felucca Down the Nile."" Introduced by brief essays that provide context and perspective, these engaging, engrossing selections speak for themselvesand trace the National Geographic Society's growth as it explored the unknown and brought it to readers eager for knowledge of ""the world and all that is in it.""",National Geographic,2006-04-18
103,Big Little Lies,9780425274866.0,425274861,"The new novel from the author of The Husbands Secret A #1 New York Times Bestseller Sometimes its the little lies that turn out to be the most lethal.  A murderA tragic accidentOr just parents behaving badly? Whats indisputable is that someone is dead.  Madeline is a force to be reckoned with. Shes funny, biting, and passionate; she remembers everything and forgives no one. Celeste is the kind of beautiful woman who makes the world stop and stare but she is paying a price for the illusion of perfection. New to town, single mom Jane is so young that another mother mistakes her for a nanny. She comes with a mysterious past and a sadness beyond her years. These three women are at different crossroads, but they will all wind up in the same shocking place.  Big Little Lies is a brilliant take on ex-husbands and second wives, mothers and daughters, schoolyard scandal, and the dangerous little lies we tell ourselves just to survive.",Berkley,2015-08-11
104,Wicked River,9781492658993.0,1492658995,"""Wicked Riveris partly a who-is-my-husband-really story, partly a horror-in-the-wilderness story, and partly a Manhattan-family drama, all rolled up in elegantly propulsive prose, and shot through with sinister suspense.""--LEE CHILD, New York Timesbestselling author Six million acres of Adirondack forest separate Natalie and Doug Larson from civilization. For the newlyweds, an isolated backcountry honeymoon seems ideal-a chance to start their lives together with an adventure. But just as Natalie and Doug begin to explore the dark interiors of their own hearts, as well as the depths of their love for each other, it becomes clear that they are not alone in the woods. Because six million acres makes it easy for the wicked to hide. And even easier for someone to go missing for good. As they struggle with the worst the wilderness has to offer, a man watches them, wielding the forest like a weapon. He wants something from them more terrifying than death. And once they are near his domain, he will do everything in his power to make sure they never walk out again.","Sourcebooks, Incorporated",2018-05-01
105,Entangled Life,9780525510314.0,525510311,"A mind-bending journey into the hidden universe of fungi, ""one of those rare books that can truly change the way you see the world around you"" (Helen Macdonald, author ofH Is for Hawk). ""Dazzling, vibrant, vision-changing . . . a remarkable work by a remarkable writer, which succeeds in springing life into strangeness again.""--Robert Macfarlane, author ofUnderland When we think of fungi, we likely think of mushrooms. But mushrooms are only fruiting bodies, analogous to apples on a tree. Most fungi live out of sight, yet make up a massively diverse kingdom of organisms that supports and sustains nearly all living systems. Fungi provide a key to understanding the planet on which we live, and the ways we think, feel, and behave. In Entangled Life, the brilliant young biologist Merlin Sheldrake shows us the world from a fungal point of view, providing an exhilarating change of perspective. Sheldrake's vivid exploration takes us from yeast to psychedelics, to the fungi that range for miles underground and are the largest organisms on the planet, to those that link plants together in complex networks known as the ""Wood Wide Web,"" to those that infiltrate and manipulate insect bodies with devastating precision. Fungi throw our concepts of individuality and even intelligence into question. They are metabolic masters, earth makers, and key players in most of life's processes. They can change our minds, heal our bodies, and even help us remediate environmental disaster. By examining fungi on their own terms, Sheldrake reveals how these extraordinary organisms--and our relationships with them--are changing our understanding of how life works. Praise for Entangled Life ""Fungi are everywhere, and Merlin Sheldrake is an ideal guide to their mysteries.He's passionate, deeply knowledgeable, and a wonderful writer.""--Elizabeth Kolbert, author ofThe Sixth Extinction ""I was completely unprepared for Sheldrake's book. It rolled me over like a tsunami, leaving the landscape rearranged but all the more beautiful.""--Nicholas Humphrey, Emeritus Professor of Psychology at the London School of Economics andauthor ofA History of the MindandSoul Dust ""Sheldrake's charm and curiosity make for a book that is delightful to read but also grand and dizzying in how thoroughly it recalibrates our understanding of the natural world and the often overlooked organisms within it.""--Ed Yong, author ofI Contain Multitudes",Random House Publishing Group,2020-05-12
106,Angela's Ashes,9780684874357.0,684874350,"&quot;When I look back on my childhood I wonder how I managed to survive at all. It was, of course, a miserable childhood: the happy childhood is hardly worth your while. Worse than the ordinary miserable childhood is the miserable Irish childhood, and worse yet is the miserable Irish Catholic childhood.&quot;So begins the luminous memoir of Frank McCourt, born in Depression-era Brooklyn to recent Irish immigrants and raised in the slums of Limerick, Ireland. Frank&#039;s mother, Angela, has no money to feed the children since Frank&#039;s father, Malachy, rarely works, and when he does he drinks his wages. Yet Malachy -- exasperating, irresponsible and beguiling-- does nurture in Frank an appetite for the one thing he can provide: a story. Frank lives for his father&#039;s tales of Cuchulain, who saved Ireland, and of the Angel on the Seventh Step, who brings his mother babies.Perhaps it is story that accounts for Frank&#039;s survival. Wearing rags for diapers, begging a pig&#039;s head for Christmas dinner and gathering coal from the roadside to light a fire, Frank endures poverty, near-starvation and the casual cruelty of relatives and neighbors--yet lives to tell his tale with eloquence, exuberance and remarkable forgiveness.Angela&#039;s Ashes, imbued on every page with Frank McCourt&#039;s astounding humor and compassion, is a glorious book that bears all the marks of a classic.",Scribner,1996-09-05
107,Where the Crawdads Sing,9780735219090.0,735219095,"In Where the Crawdads Sing, Owens juxtaposes an exquisite ode to the natural world against a heartbreaking coming of age story and a surprising murder investigation. Thought-provoking, wise, and deeply moving, Owens's debut novel reminds us that we are forever shaped by the children we once were, and that we are all subject to the beautiful and violent secrets that nature keeps.",Penguin Publishing Group,2018-08-14
108,V for Vendetta,9781401208417.0,140120841,"A powerful story about loss of freedom and individuality, V FOR VENDETTA takes place in a totalitarian England following a devastating war that changed the face of the planet. In a world without political freedom, personal freedom and precious little faith in anything comes a mysterious man in a white porcelain mask who fights political oppressors through terrorism and seemingly absurd acts. It's a gripping tale of the blurred lines between ideological good and evil.This new trade paperbackedition features the improved production values and coloring from the 2005 hardcover.",Vertigo,2008-10-24
109,The Aviator's Wife: A Novel,9780345528681.0,345528689,"In the spirit of Loving Frank and The Paris Wife, acclaimed novelist Melanie Benjamin pulls back the curtain on the marriage of one of America&rsquo;s most extraordinary couples: Charles Lindbergh and Anne Morrow Lindbergh.&nbsp;&ldquo;The history [is] exhilarating. . . .&nbsp;The Aviator&rsquo;s Wife soars.&rdquo;&mdash;USA Today &nbsp; NEW YORK TIMES BESTSELLERWhen Anne Morrow, a shy college senior with hidden literary aspirations, travels to Mexico City to spend Christmas with her family, she meets Colonel Charles Lindbergh, fresh off his celebrated 1927 solo flight across the Atlantic. Enthralled by Charles&rsquo;s assurance and fame, Anne is certain the aviator has scarcely noticed her. But she is wrong. Charles sees in Anne a kindred spirit, a fellow adventurer, and her world will be changed forever. The two marry in a headline-making wedding. In the years that follow, Anne becomes the first licensed female glider pilot in the United States. But despite this and other major achievements, she is viewed merely as the aviator&rsquo;s wife. The fairy-tale life she once longed for will bring heartbreak and hardships, ultimately pushing her to reconcile her need for love and her desire for independence, and to embrace, at last, life&rsquo;s infinite possibilities for change and happiness. &nbsp; Look for special features inside. Join the Random House Reader&rsquo;s Circle for author chats and more.Praise for The Aviator&rsquo;s Wife &nbsp;&ldquo;Remarkable . . . The Aviator&rsquo;s Wife succeeds [in] putting the reader inside Anne Lindbergh&rsquo;s life with her famous husband.&rdquo;&mdash;The Denver Post&ldquo;Anne Morrow Lindbergh narrates the story of the Lindberghs&rsquo; troubled marriage in all its triumph and tragedy.&rdquo;&mdash;USA Today &nbsp; &ldquo;[This novel] will fascinate history buffs and surprise those who know of her only as &lsquo;the aviator&rsquo;s wife.&rsquo; &rdquo;&mdash;People &nbsp; &ldquo;It&rsquo;s hard to quit reading this intimate historical fiction.&rdquo;&mdash;The Dallas Morning News &nbsp;&ldquo;Fictional biography at its finest.&rdquo;&mdash;Booklist (starred review)&ldquo;Utterly unforgettable.&rdquo;&mdash;Publishers Weekly (starred review) &nbsp; &ldquo;An intimate examination of the life and emotional mettle of Anne Morrow.&rdquo;&mdash;The Washington Post&ldquo;A story of both triumph and pain that will take your breath away.&rdquo;&mdash;Kate Alcott, author of The Dressmaker",Bantam,2013-11-26
110,The Andromeda Strain,9781101974490.0,1101974494,"In this bestselling classic,four scientists race to prevent a biochemical disaster after a space probe landing goes awry.A military space probe, sent to collect extraterrestrial organisms from the upper atmosphere, is knocked out of orbit and falls to Earth. Twelve miles from the crash site, an inexplicable and deadly phenomenon terrorizes the residents of a sleepy desert town in Arizona, leaving only two survivors: an elderly addict and a newborn infant. The United States government is forced to mobilize Project Wildfire, a top-secret emergency response protocol. Four of the nations most elite biophysicists are summoned to a clandestine underground laboratory located five stories beneath the desert and fitted with an automated atomic self-destruction mechanism for cases of irremediable contamination. Under conditions of total news blackout and the utmost urgency, the scientists race to understand and contain the crisis. But the Andromeda Strain proves different from anything theyve ever seenand what they dont know could not only hurt them, but lead to unprecedented worldwide catastrophe.",Vintage,2017-01-24
111,The Girl on the Train: A Novel,9781594634024.0,1594634025,"The #1New York TimesBestseller, USA Today Book of the Year, soon to be a major motion picture.  The debut psychological thriller that will forever change the way you look at other people's lives.  Nothing is more addicting thanThe Girl on the Train.Vanity Fair The Girl on the Trainhas more fun with unreliable narration than any chiller sinceGone Girl. . . . [It] is liable to draw a large, bedazzled readership.The New York Times  Marries movie noir with novelistic trickery. . . hang on tight. You'll be surprised by what horrors lurk around the bend.USA Today  Like its train, the story blasts through the stagnation of these lives in suburban London and the reader cannot help but turn pages.The Boston Globe Gone Girlfans will devour this psychological thriller.People   EVERY DAY THE SAME Rachel takes the same commuter train every morning and night. Every day she rattles down the track, flashes past a stretch of cozy suburban homes, and stops at the signal that allows her to daily watch the same couple breakfasting on their deck. Shes even started to feel like she knows them. Jess and Jason, she calls them. Their lifeas she sees itis perfect. Not unlike the life she recently lost. UNTIL TODAY And then she sees something shocking. Its only a minute until the train moves on, but its enough. Now everythings changed. Unable to keep it to herself, Rachel goes to the police. But is she really as unreliable as they say? Soon she is deeply entangled not only in the investigation but in the lives of everyone involved. Has she done more harm than good?",Riverhead Books,2016-07-12
112,The New Edible Wild Plants of Eastern North America,9781951682118.0,1951682114,"Edible Wild Plants of Eastern North America, originally published in 1943, was a landmark book in terms of its thoroughness (covering nearly 1000 plants, plus poisonous plants, mushrooms, seaweeds and lichens). This extensively revised edition updates scientific names, adds distribution maps for many species, and includes all new illustrations.",,2019-10-24
